text,Condition,Procedure,Medication,original_Condition,original_Procedure,original_Medication
this condition appears to be rare it has been reported in only a few individuals and families worldwide,,,,,,
key points after breast cancer has been diagnosed tests are done to find out if cancer cells have spread within the breast or to other parts of the body there are three ways that cancer spreads in the body cancer may spread from where it began to other parts of the body the following stages are used for breast cancer stage 0 carcinoma in situ stage i stage ii stage iiia stage iiib stage iiic stage iv the treatment of breast cancer depends partly on the stage of the disease after breast cancer has been diagnosed tests are done to find out if cancer cells have spread within the breast or to other parts of the body the process used to find out whether the cancer has spread within the breast or to other parts of the body is called staging the information gathered from the staging process determines the stage of the disease it is important to know the stage in order to plan treatment the results of some of the tests used to diagnose breast cancer are also used to stage the disease see the general information section the following tests and procedures also may be used in the staging process sentinel lymph node biopsy the removal of the sentinel lymph node during surgery the sentinel lymph node is the first lymph node to receive lymphatic drainage from a tumor it is the first lymph node the cancer is likely to spread to from the tumor a radioactive substance and or blue dye is injected near the tumor the substance or dye flows through the lymph ducts to the lymph nodes the first lymph node to receive the substance or dye is removed a pathologist views the tissue under a microscope to look for cancer cells if cancer cells are not found it may not be necessary to remove more lymph nodes chest x ray an x ray of the organs and bones inside the chest an x ray is a type of energy beam that can go through the body and onto film making a picture of areas inside the body ct scan cat scan a procedure that makes a series of detailed pictures of areas inside the body taken from different angles the pictures are made by a computer linked to an x ray machine a dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly this procedure is also called computed tomography computerized tomography or computerized axial tomography bone scan a procedure to check if there are rapidly dividing cells such as cancer cells in the bone a very small amount of radioactive material is injected into a vein and travels through the bloodstream the radioactive material collects in the bones and is detected by a scanner pet scan positron emission tomography scan a procedure to find malignant tumor cells in the body a small amount of radioactive glucose sugar is injected into a vein the pet scanner rotates around the body and makes a picture of where glucose is being used in the body malignant tumor cells show up brighter in the picture because they are more active and take up more glucose than normal cells do there are three ways that cancer spreads in the body cancer can spread through tissue the lymph system and the blood tissue the cancer spreads from where it began by growing into nearby areas lymph system the cancer spreads from where it began by getting into the lymph system the cancer travels through the lymph vessels to other parts of the body blood the cancer spreads from where it began by getting into the blood the cancer travels through the blood vessels to other parts of the body cancer may spread from where it began to other parts of the body when cancer spreads to another part of the body it is called metastasis cancer cells break away from where they began the primary tumor and travel through the lymph system or blood lymph system the cancer gets into the lymph system travels through the lymph vessels and forms a tumor metastatic tumor in another part of the body blood the cancer gets into the blood travels through the blood vessels and forms a tumor metastatic tumor in another part of the body the metastatic tumor is the same type of cancer as the primary tumor for example if breast cancer spreads to the bone the cancer cells in the bone are actually breast cancer cells the disease is metastatic breast cancer not bone cancer the following stages are used for breast cancer this section describes the stages of breast cancer the breast cancer stage is based on the results of tests that are done on the tumor and lymph nodes removed during surgery and on other tests stage 0 carcinoma in situ there are 3 types of breast carcinoma in situ ductal carcinoma in situ dcis is a noninvasive condition in which abnormal cells are found in the lining of a breast duct the abnormal cells have not spread outside the duct to other tissues in the breast in some cases dcis may become invasive cancer and spread to other tissues at this time there is no way to know which lesions could become invasive lobular carcinoma in situ lcis is a condition in which abnormal cells are found in the lobules of the breast this condition seldom becomes invasive cancer information about lcis is not included in this summary paget disease of the nipple is a condition in which abnormal cells are found in the nipple only stage i in stage i cancer has formed stage i is divided into stages ia and ib in stage ia the tumor is 2 centimeters or smaller cancer has not spread outside the breast in stage ib small clusters of breast cancer cells larger than 0 2 millimeter but not larger than 2 millimeters are found in the lymph nodes and either no tumor is found in the breast or the tumor is 2 centimeters or smaller stage ii stage ii is divided into stages iia and iib in stage iia no tumor is found in the breast or the tumor is 2 centimeters or smaller cancer larger than 2 millimeters is found in 1 to 3 axillary lymph nodes or in the lymph nodes near the breastbone found during a sentinel lymph node biopsy or the tumor is larger than 2 centimeters but not larger than 5 centimeters cancer has not spread to the lymph nodes in stage iib the tumor is larger than 2 centimeters but not larger than 5 centimeters small clusters of breast cancer cells larger than 0 2 millimeter but not larger than 2 millimeters are found in the lymph nodes or larger than 2 centimeters but not larger than 5 centimeters cancer has spread to 1 to 3 axillary lymph nodes or to the lymph nodes near the breastbone found during a sentinel lymph node biopsy or larger than 5 centimeters cancer has not spread to the lymph nodes stage iiia in stage iiia no tumor is found in the breast or the tumor may be any size cancer is found in 4 to 9 axillary lymph nodes or in the lymph nodes near the breastbone found during imaging tests or a physical exam or the tumor is larger than 5 centimeters small clusters of breast cancer cells larger than 0 2 millimeter but not larger than 2 millimeters are found in the lymph nodes or the tumor is larger than 5 centimeters cancer has spread to 1 to 3 axillary lymph nodes or to the lymph nodes near the breastbone found during a sentinel lymph node biopsy stage iiib in stage iiib the tumor may be any size and cancer has spread to the chest wall and or to the skin of the breast and caused swelling or an ulcer also cancer may have spread to up to 9 axillary lymph nodes or the lymph nodes near the breastbone cancer that has spread to the skin of the breast may also be inflammatory breast cancer see the section on inflammatory breast cancer for more information stage iiic in stage iiic no tumor is found in the breast or the tumor may be any size cancer may have spread to the skin of the breast and caused swelling or an ulcer and or has spread to the chest wall also cancer has spread to 10 or more axillary lymph nodes or lymph nodes above or below the collarbone or axillary lymph nodes and lymph nodes near the breastbone cancer that has spread to the skin of the breast may also be inflammatory breast cancer see the section on inflammatory breast cancer for more information stage iv in stage iv cancer has spread to other organs of the body most often the bones lungs liver or brain the treatment of breast cancer depends partly on the stage of the disease for ductal carcinoma in situ dcis treatment options see ductal carcinoma in situ for treatment options for stage i stage ii stage iiia and operable stage iiic breast cancer see early localized or operable breast cancer for treatment options for stage iiib inoperable stage iiic and inflammatory breast cancer see locally advanced or inflammatory breast cancer for treatment options for cancer that has recurred near the area where it first formed see locoregional recurrent breast cancer for treatment options for stage iv breast cancer or breast cancer that has recurred in other parts of the body see metastatic breast cancer,"breast cancer, cancer, bone cancer, paget disease of, inflammatory breast cancer","biopsy, surgery",,"Breast Cancer, Cancer, Bone Cancer, Inflammatory breast cancer","Surgery, Biopsy",
these resources address the diagnosis or management of ovarian cancer dana farber cancer institute familial ovarian cancer registry fred hutchinson cancer research center gene review gene review brca1 and brca2 hereditary breast ovarian cancer genetic testing registry hereditary breast and ovarian cancer syndrome genetic testing registry ovarian cancer genomics education programme uk hereditary breast and ovarian cancer m d anderson cancer center medlineplus encyclopedia brca1 and brca2 gene testing medlineplus encyclopedia ca 125 blood test memorial sloan kettering cancer center these resources from medlineplus offer information about the diagnosis and management of various health conditions diagnostic tests drug therapy surgery and rehabilitation genetic counseling palliative care,"ovarian cancer, cancer","genetic testing, surgery, rehabilitation, genetic counseling, palliative care",,"Ovarian Cancer, Cancer","Rehabilitation, Surgery, Palliative Care, Genetic Testing, Genetic Counseling",
how might buschke ollendorff syndrome be treated there is currently no cure for bos surgical removal of lesions on or under the skin may be done for cosmetic purposes in some patients surgical treatment of deafness may be possible surgery might also be necessary for some of the signs or symptoms associated with bos osteopoikilosis is typically asymptomatic but about 15 20 of individuals experience pain and joint effusions fluid build up usually no special restrictions in activity are required for individuals with bos 3150,"buschke ollendorff syndrome, pain",surgery,,"Pain, Buschke Ollendorff syndrome",Surgery,
vacterl association is a disorder that affects many body systems vacterl stands for vertebral defects anal atresia cardiac defects tracheo esophageal fistula renal anomalies and limb abnormalities people diagnosed with vacterl association typically have at least three of these characteristic features affected individuals may have additional abnormalities that are not among the characteristic features of vacterl association defects in the bones of the spine vertebrae are present in 60 to 80 percent of people with vacterl association these defects may include misshapen vertebrae fused vertebrae and missing or extra vertebrae in some people spinal problems require surgery or cause health problems such as back pain of varying severity throughout life sixty to 90 percent of individuals with vacterl association have narrowing or blockage of the anus anal atresia anal atresia may be accompanied by abnormalities of the genitalia and urinary tract genitourinary anomalies heart cardiac defects occur in 40 to 80 percent of individuals with vacterl association cardiac defects can range in severity from a life threatening problem to a subtle defect that does not cause health problems fifty to 80 percent of people with vacterl association have a tracheo esophageal fistula which is an abnormal connection fistula between the esophagus and the windpipe trachea tracheo esophageal fistula can cause problems with breathing and feeding early in life and typically requires surgical correction in infancy kidney renal anomalies occur in 50 to 80 percent of individuals with vacterl association affected individuals may be missing one or both kidneys or have abnormally developed or misshapen kidneys which can affect kidney function limb abnormalities are seen in 40 to 50 percent of people with vacterl association these abnormalities most commonly include poorly developed or missing thumbs or underdeveloped forearms and hands some of the features of vacterl association can be subtle and are not identified until late in childhood or adulthood making diagnosis of this condition difficult,"vacterl association, back pain",surgery,,"Back Pain, Pain, VACTERL association",Surgery,
chagas disease is caused by a parasite it is common in latin america but not in the united states infected blood sucking bugs sometimes called kissing bugs spread it when the bug bites you usually on your face it leaves behind infected waste you can get the infection if you rub it in your eyes or nose the bite wound or a cut the disease can also spread through contaminated food a blood transfusion a donated organ or from mother to baby during pregnancy if you notice symptoms they might include fever flu like symptoms a rash a swollen eyelid these early symptoms usually go away however if you don t treat the infection it stays in your body later it can cause serious intestinal and heart problems a physical exam and blood tests can diagnose it you may also need tests to see whether the disease has affected your intestines and heart medicines can kill the parasite especially early on you can also treat related problems for example a pacemaker helps with certain heart complications there are no vaccines or medicines to prevent chagas disease if you travel to areas where it occurs you are at higher risk if you sleep outdoors or in poor housing conditions it is important to use insecticides to prevent bites and practice food safety centers for disease control and prevention,"chagas disease, fever, flu",,,"Fever, Chagas Disease, Flu",,
there is no cure for kts treatment is symptomatic laser surgery can diminish or erase some skin lesions surgery may correct discrepancies in limb size but orthopedic devices may be more appropriate,,surgery,,,Surgery,
wet amd can be treated with laser surgery photodynamic therapy and drugs that are injected into the eye none of these treatments is a cure for wet amd the disease and loss of vision may progress despite treatment,,surgery,,,Surgery,
an unpredictable disease of the central nervous system multiple sclerosis ms can range from relatively benign to somewhat disabling to devastating as communication between the brain and other parts of the body is disrupted many investigators believe ms to be an autoimmune disease one in which the body through its immune system launches a defensive attack against its own tissues in the case of ms it is the nerve insulating myelin that comes under assault such assaults may be linked to an unknown environmental trigger perhaps a virus most people experience their first symptoms of ms between the ages of 20 and 40 the initial symptom of ms is often blurred or double vision red green color distortion or even blindness in one eye most ms patients experience muscle weakness in their extremities and difficulty with coordination and balance these symptoms may be severe enough to impair walking or even standing in the worst cases ms can produce partial or complete paralysis most people with ms also exhibit paresthesias transitory abnormal sensory feelings such as numbness prickling or pins and needles sensations some may also experience pain speech impediments tremors and dizziness are other frequent complaints occasionally people with ms have hearing loss approximately half of all people with ms experience cognitive impairments such as difficulties with concentration attention memory and poor judgment but such symptoms are usually mild and are frequently overlooked depression is another common feature of ms,"multiple sclerosis, paralysis, pain, hearing loss, depression",,,"Hearing Loss, Depression, Paralysis, Multiple Sclerosis, Pain",,
people with ras are at increased risk for complications resulting from loss of kidney function or atherosclerosis occurring in other blood vessels such as chronic kidney disease ckd reduced kidney function over a period of time coronary artery diseasenarrowing and hardening of arteries that supply blood to the heart strokebrain damage caused by lack of blood flow to the brain peripheral vascular diseaseblockage of blood vessels that restricts flow of blood from the heart to other parts of the body particularly the legs ras can lead to kidney failure described as end stage renal disease when treated with blood filtering treatments called dialysis or a kidney transplant though this is uncommon in people who receive ongoing treatment for ras,"atherosclerosis, chronic kidney disease, diseaseblockage, kidney failure",dialysis,,"Kidney Disease, Kidney Failure, Chronic Kidney Disease, Atherosclerosis",Dialysis,
most people with alzheimers disease are cared for at home by family members within families caregiving is provided most often by wives and husbands followed by daughters as alzheimers disease gets worse the person will need more and more care because of this you will need more help it s okay to seek help whenever you need it building a local support system is a key way to get help this system might include a caregiver support group the local chapter of the alzheimer s association family friends and faith groups to learn where to get help in your community contact the alzheimers disease education and referral adear center 1 800 438 4380 or visit www nia nih gov alzheimers the alzheimer s association at 1 800 272 3900 the alzheimers disease education and referral adear center 1 800 438 4380 or visit www nia nih gov alzheimers the alzheimer s association at 1 800 272 3900 various professional services can help with everyday care in the home of someone with alzheimers disease medicare medicaid and other health insurance plans may help pay for these services contact eldercare locator to find the services you need in your area by calling 1 800 677 1116 or visiting www eldercare gov home health care services home health care agencies send a home health aide or nurse to your home to help you care for a person with alzheimers they may come for a few hours or stay for 24 hours and are paid by the hour some home health aides are better trained and supervised than others ask your doctor or other health care professional about good home health care services in your area get as much information as possible about a service before you sign an agreement also ask for and check references here are some questions to ask before signing a home health care agreement is your service licensed and accredited how much do your services cost what is included and not included in your services how many days a week and hours a day will an aide come to my home how do you check the background and experience of your home health aides how do you train your home health aides what types of emergency care can you provide who do i contact if there is a problem is your service licensed and accredited how much do your services cost what is included and not included in your services how many days a week and hours a day will an aide come to my home how do you check the background and experience of your home health aides how do you train your home health aides what types of emergency care can you provide who do i contact if there is a problem for information about how to find home health care services see caring for a person with alzheimers disease meal services meal services bring hot meals to the person s home or your home the delivery staff does not feed the person the person with alzheimers disease must qualify for the service based on local guidelines some groups do not charge for their services others may charge a small fee for information call eldercare locator at 1 800 677 1116 or go to www eldercare gov you may also contact meals on wheels at 1 888 998 6325 adult day care services adult day care services provide a safe environment activities and staff who take care of the person with alzheimers at their own facility this provides a much needed break for you many programs provide transportation between the persons home and the facility adult day care services generally charge by the hour most insurance plans do not cover these costs to find adult day care services in your area contact the national adult day services association at 1 877 745 1440 watch a video to learn more about the services provided at adult day care respite services respite services provide short stays from a few days to a few weeks in a nursing home or other place for the person with alzheimers disease this care allows you to get a break or go on a vacation respite services charge by the number of days or weeks that services are provided medicare or medicaid may cover the cost of up to 5 days in a row of respite care in an inpatient facility most private insurance plans do not cover these costs to find respite services in your community call the national respite locator service at 1 800 773 5433 toll free geriatric care managers geriatric care managers visit your home to assess your needs and suggest and arrange home care services they charge by the hour most insurance plans don t cover these costs to find a geriatric care manager contact the national association of professional geriatric care managers at 1 520 881 8008 mental health professionals and social workers mental health professionals and social workers help you deal with any stress you may be feeling they help you understand feelings such as anger sadness or feeling out of control they can also help you make plans for unexpected or sudden events mental health professionals charge by the hour medicare medicaid and some private health insurance plans may cover some of these costs ask your health insurance plan which mental health counselors and services it covers then check with your doctor local family service agencies and community mental health agencies for referrals to counselors,stress,,,Stress,,
x linked infantile spasm syndrome is a seizure disorder characterized by a type of seizure known as infantile spasms the spasms usually appear before the age of 1 several types of spasms have been described but the most commonly reported involves bending at the waist and neck with extension of the arms and legs sometimes called a jackknife spasm each spasm lasts only seconds but they occur in clusters several minutes long although individuals are not usually affected while they are sleeping the spasms commonly occur just after awakening infantile spasms usually disappear by age 5 but many children then develop other types of seizures that recur throughout their lives most babies with x linked infantile spasm syndrome have characteristic results on an electroencephalogram eeg a test used to measure the electrical activity of the brain the eeg of these individuals typically shows an irregular pattern known as hypsarrhythmia and this finding can help differentiate infantile spasms from other types of seizures because of the recurrent seizures babies with x linked infantile spasm syndrome stop developing normally and begin to lose skills they have acquired developmental regression such as sitting rolling over and babbling subsequently development in affected children is delayed most affected individuals also have intellectual disability throughout their lives,seizures,,,Seizures,,
argininosuccinic aciduria occurs in approximately 1 in 70 000 newborns,argininosuccinic aciduria,,,,,
most cases of nonsyndromic aplasia cutis congenita are sporadic which means they occur in people with no history of the disorder in their family when the condition runs in families inheritance usually follows an autosomal dominant pattern which means one copy of an altered gene in each cell is sufficient to cause the disorder rarely the condition appears to follow an autosomal recessive pattern of inheritance which means both copies of a gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition,aplasia cutis congenita,,,Aplasia cutis congenita,,
osteochondritis dissecans is a joint condition that occurs when a piece of cartilage and the thin layer of bone beneath it separates from the end of the bone if the piece of cartilage and bone remain close to where they detached they may not cause any symptoms however affected people may experience pain weakness and or decreased range of motion in the affected joint if the cartilage and bone travel into the joint space although osteochondritis dissecans can affect people of all ages it is most commonly diagnosed in people between the ages of 10 and 20 years in most cases the exact underlying cause is unknown rarely the condition can affect more than one family member called familial osteochondritis dissecans in these cases osteochondritis dissecans is caused by changes mutations in the acan gene and is inherited in an autosomal dominant manner treatment for the condition varies depending on many factors including the age of the affected person and the severity of the symptoms but may include rest casting or splinting surgery and or physical therapy,"osteochondritis dissecans, pain, familial osteochondritis dissecans",surgery,,"Pain, Familial osteochondritis dissecans, Osteochondritis dissecans",Surgery,
the following tests and procedures may be used to detect find and diagnose lch or conditions caused by lch physical exam and history an exam of the body to check general signs of health including checking for signs of disease such as lumps or anything else that seems unusual a history of the patient s health habits and past illnesses and treatments will also be taken neurological exam a series of questions and tests to check the brain spinal cord and nerve function the exam checks a person s mental status coordination and ability to walk normally and how well the muscles senses and reflexes work this may also be called a neuro exam or a neurologic exam complete blood count cbc with differential a procedure in which a sample of blood is drawn and checked for the following the amount of hemoglobin the protein that carries oxygen in the red blood cells the portion of the blood sample made up of red blood cells the number and type of white blood cells the number of red blood cells and platelets blood chemistry studies a procedure in which a blood sample is checked to measure the amounts of certain substances released into the body by organs and tissues in the body an unusual higher or lower than normal amount of a substance can be a sign of disease liver function test a blood test to measure the blood levels of certain substances released by the liver a high or low level of these substances can be a sign of disease in the liver braf gene testing a laboratory test in which a sample of blood or tissue is tested for mutations of the braf gene urinalysis a test to check the color of urine and its contents such as sugar protein red blood cells and white blood cells water deprivation test a test to check how much urine is made and whether it becomes concentrated when little or no water is given this test is used to diagnose diabetes insipidus which may be caused by lch bone marrow aspiration and biopsy the removal of bone marrow and a small piece of bone by inserting a hollow needle into the hipbone a pathologist views the bone marrow and bone under a microscope to look for signs of lch the following tests may be done on the tissue that was removed immunohistochemistry a test that uses antibodies to check for certain antigens in a sample of tissue the antibody is usually linked to a radioactive substance or a dye that causes the tissue to light up under a microscope this type of test may be used to tell the difference between different types of cancer flow cytometry a laboratory test that measures the number of cells in a sample how many cells are live and the size of the cells it also shows the shapes of the cells and whether there are tumor markers on the surface of the cells the cells are stained with a light sensitive dye placed in a fluid and passed in a stream before a laser or other type of light the measurements are based on how the light sensitive dye reacts to the light bone scan a procedure to check if there are rapidly dividing cells in the bone a very small amount of radioactive material is injected into a vein and travels through the bloodstream the radioactive material collects in the bones with cancer and is detected by a scanner x ray an x ray of the organs and bones inside the body an x ray is a type of energy beam that can go through the body and onto film making a picture of areas inside the body sometimes a skeletal survey is done this is a procedure to x ray all of the bones in the body ct scan cat scan a procedure that makes a series of detailed pictures of areas inside the body taken from different angles the pictures are made by a computer linked to an x ray machine a dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly this procedure is also called computed tomography computerized tomography or computerized axial tomography mri magnetic resonance imaging a procedure that uses a magnet radio waves and a computer to make a series of detailed pictures of areas inside the body a substance called gadolinium may be injected into a vein the gadolinium collects around the lch cells so that they show up brighter in the picture this procedure is also called nuclear magnetic resonance imaging nmri pet scan positron emission tomography scan a procedure to find tumor cells in the body a small amount of radioactive glucose sugar is injected into a vein the pet scanner rotates around the body and makes a picture of where glucose is being used in the body tumor cells show up brighter in the picture because they are more active and take up more glucose than normal cells do ultrasound exam a procedure in which high energy sound waves ultrasound are bounced off internal tissues or organs and make echoes the echoes form a picture of body tissues called a sonogram the picture can be printed to be looked at later bronchoscopy a procedure to look inside the trachea and large airways in the lung for abnormal areas a bronchoscope is inserted through the nose or mouth into the trachea and lungs a bronchoscope is a thin tube like instrument with a light and a lens for viewing it may also have a tool to remove tissue samples which are checked under a microscope for signs of cancer endoscopy a procedure to look at organs and tissues inside the body to check for abnormal areas in the gastrointestinal tract or lungs an endoscope is inserted through an incision cut in the skin or opening in the body such as the mouth an endoscope is a thin tube like instrument with a light and a lens for viewing it may also have a tool to remove tissue or lymph node samples which are checked under a microscope for signs of disease biopsy the removal of cells or tissues so they can be viewed under a microscope by a pathologist to check for lch cells to diagnose lch a biopsy of bone lesions skin lymph nodes or the liver may be done,"diabetes insipidus, cancer","urinalysis, biopsy, ultrasound, endoscopy",,"Diabetes, Cancer, Diabetes Insipidus","Ultrasound, Biopsy, Urinalysis, Endoscopy",
new types of treatment are being tested in clinical trials information about clinical trials is available from the nci website patients may want to think about taking part in a clinical trial for some patients taking part in a clinical trial may be the best treatment choice clinical trials are part of the cancer research process clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment many of today s standard treatments for cancer are based on earlier clinical trials patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment patients who take part in clinical trials also help improve the way cancer will be treated in the future even when clinical trials do not lead to effective new treatments they often answer important questions and help move research forward patients can enter clinical trials before during or after starting their cancer treatment some clinical trials only include patients who have not yet received treatment other trials test treatments for patients whose cancer has not gotten better there are also clinical trials that test new ways to stop cancer from recurring coming back or reduce the side effects of cancer treatment clinical trials are taking place in many parts of the country see the treatment options section that follows for links to current treatment clinical trials these have been retrieved from nci s listing of clinical trials,cancer,clinical trials,,Cancer,Clinical Trials,
is frontal fibrosing alopecia inherited frontal fibrosing alopecia is not thought to be inherited in most cases it rarely affects more than one person in a family,frontal fibrosing alopecia,,,Frontal fibrosing alopecia,,
glaucoma and also high blood pressure and alcohol and urinary tract infections,"glaucoma, high blood pressure, urinary tract infections",,,"Glaucoma, High Blood Pressure, Urinary Tract Infections",,
this condition is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is sufficient to cause the disorder,,,,,,
certain factors affect prognosis chance of recovery and treatment options the prognosis chance of recovery and treatment options depend on the following the stage of the cancer the patient s age and general health whether the cancer has just been diagnosed or has recurred come back,cancer,,,Cancer,,
diabetes cannot be cured but it can be managed managing blood glucose blood sugar as well as blood pressure and cholesterol is the best defense against the serious complications of diabetes know what to do every day to manage your diabetes here are things to do every day take your medicines keep track of your blood glucose blood sugar check your blood pressure if your doctor advises check your feet brush your teeth and floss stop smoking eat well be active take your medicines keep track of your blood glucose blood sugar check your blood pressure if your doctor advises check your feet brush your teeth and floss stop smoking eat well be active watch the video to learn more about what one woman does to manage her diabetes every day to enlarge the video click the brackets in the lower right hand corner to reduce the video press the escape esc button on your keyboard take your diabetes medicines people with type 1 diabetes control their blood sugar with insulin delivered either by injection or with a pump many people with type 2 diabetes can control blood glucose levels with diet and exercise alone others require oral medications or insulin and some may need both as well as lifestyle modification ask your doctor if you need to take aspirin every day to prevent a heart attack or stroke keep track of your blood glucose one of the best ways to find out how well you are taking care of your diabetes is to check your blood to see how much glucose is in it if your blood has too much or too little glucose you may need a change in your meal plan exercise plan or medication ask your doctor how often you should check your blood glucose some people check their blood glucose once a day others do it three a day or even more you may be told to check before eating before bed and sometimes in the middle of the night your doctor or diabetes educator will show you how to check your blood using a blood glucose meter your health insurance or medicare may pay for some of the supplies and equipment you need to check your glucose levels see what diabetes supplies and services medicare covers check your blood pressure check your blood pressure if your doctor advises and keep a record of it you can check your pressure at home with a home blood pressure measurement device or monitor blood pressure monitors can be bought at discount chain stores and drug stores when you are taking your blood pressure at home sit with your back supported and your feet flat on the floor rest your arm on a table at the level of your heart check with your health care provider to make sure you are using the monitor correctly check your feet foot care is very important for people with diabetes high blood glucose levels and a reduced blood supply to the limbs cause nerve damage that reduces feeling in the feet someone with nerve damage may not feel a pebble inside his or her sock that is causing a sore or a blister caused by poorly fitting shoes may go unnoticed foot injuries such as these can cause ulcers which may if not cared for ultimately lead to the need for amputation if you have diabetes check your feet every day and watch for any cuts sores red spots swelling and infected toenails report sores blisters breaks in the skin infections or buildup of calluses to a podiatrist or a family doctor never walk barefoot have your feet checked at every doctor visit take your shoes and socks off when you go into the examining room this will remind the doctor to check your feet check your feet every day and watch for any cuts sores red spots swelling and infected toenails report sores blisters breaks in the skin infections or buildup of calluses to a podiatrist or a family doctor never walk barefoot have your feet checked at every doctor visit take your shoes and socks off when you go into the examining room this will remind the doctor to check your feet learn more about taking care of your feet brush your teeth and floss people with diabetes can have tooth and gum problems more often if their blood glucose stays high high blood glucose also can make tooth and gum problems worse you can even lose your teeth here are ways to protect your teeth and gums keep your blood glucose as close to normal as possible use dental floss at least once a day flossing helps prevent the buildup of plaque on your teeth plaque can harden and grow under your gums and cause problems using a sawing motion gently bring the floss between the teeth scraping from bottom to top several times brush your teeth after each meal and snack use a soft toothbrush turn the bristles against the gum line and brush gently use small circular motions brush the front back and top of each tooth if you wear false teeth keep them clean call your dentist right away if you have problems with your teeth and gums keep your blood glucose as close to normal as possible use dental floss at least once a day flossing helps prevent the buildup of plaque on your teeth plaque can harden and grow under your gums and cause problems using a sawing motion gently bring the floss between the teeth scraping from bottom to top several times brush your teeth after each meal and snack use a soft toothbrush turn the bristles against the gum line and brush gently use small circular motions brush the front back and top of each tooth if you wear false teeth keep them clean call your dentist right away if you have problems with your teeth and gums learn more about how diabetes can affect your mouth and teeth stop smoking if you smoke stop smoking raises your risk for many diabetes problems including heart attack and stroke ask for help to quit call 1 800 quitnow 1 800 784 8669 for more information on smoking and older adults see quitting smoking for older adults eat well people with diabetes don t need to buy or prepare special foods the foods that are best for someone with diabetes are excellent choices for everyone foods that are low in fat salt and sugar and high in fiber such as beans fruits vegetables and whole grains these foods help you reach and stay at a weight that s good for your body keep your blood pressure glucose and cholesterol in a desirable range and prevent or delay heart and blood vessel disease for more on healthy eating see small steps for eating healthy foods be active try to exercise almost every day for a total of about 30 to 60 minutes if you haven t exercised lately begin slowly start with 5 to 10 minutes and then add more time or exercise for 10 minutes three times a day tip you dont need to get your exercise in all at one time for more information on exercise and older adults see exercise how to get started or visit go4life the exercise and physical activity campaign for older adults from the national institute on aging be sure to check with your doctor before starting an exercise program other areas to manage here are other areas to manage if you have diabetes take care of your eyes protect your kidneys protect your skin learn how to cope with stress take care of your eyes protect your kidneys protect your skin learn how to cope with stress take care of your eyes high blood glucose and high blood pressure from diabetes can hurt your eyes it can even cause blindness or other painful eye problems here are ways to prevent diabetes eye problems keep your blood glucose and blood pressure as close to normal as you can have an eye care professional examine your eyes once a year have this exam even if your vision is okay keep your blood glucose and blood pressure as close to normal as you can have an eye care professional examine your eyes once a year have this exam even if your vision is okay learn more about eye disease and diabetes protect your kidneys high blood glucose and high blood pressure may damage the kidneys damaged kidneys do not do a good job of filtering out wastes and extra fluid here are ways to prevent diabetes kidney problems keep your blood glucose and blood pressure as close to your target goal as you can get tested at least once a year for kidney disease ask your doctor if you should be tested follow the healthy eating plan you work out with your doctor or dietitian if you already have kidney problems your dietitian may suggest you cut back on protein keep your blood glucose and blood pressure as close to your target goal as you can get tested at least once a year for kidney disease ask your doctor if you should be tested follow the healthy eating plan you work out with your doctor or dietitian if you already have kidney problems your dietitian may suggest you cut back on protein learn more about keeping your kidneys healthy protect your skin skin care is very important too because people with diabetes may have more injuries and infections they should protect their skin by keeping it clean and taking care of minor cuts and bruises learn how to cope with stress stress can raise your blood glucose blood sugar while it is hard to remove stress from your life you can learn to handle it try deep breathing gardening taking a walk meditating working on your hobby or listening to your favorite music,"diabetes, cholesterol, heart attack, stroke, stress, high blood pressure, kidney disease, bruises",,,"High Blood Pressure, Diabetes, Kidney Disease, Stroke, Heart Attack, Cholesterol, Stress, Bruises",,Diabetes Medicines
what are the symptoms of bell s palsy,,,,Bell's Palsy,,
this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition,,,,,,
hashimoto thyroiditis affects 1 to 2 percent of people in the united states it occurs more often in women than in men which may be related to hormonal factors the condition is the most common cause of thyroid underactivity hypothyroidism in the united states,hypothyroidism,,,Hypothyroidism,,
a prolactinoma is a benign noncancerous tumor of the pituitary gland that produces a hormone called prolactin prolactinomas are the most common type of pituitary tumor symptoms of prolactinoma are caused by hyperprolactinemia too much prolactin in the blood or by pressure of the tumor on surrounding tissues prolactin stimulates the breast to produce milk during pregnancy after giving birth a mothers prolactin levels fall unless she breastfeeds her infant each time the baby nurses prolactin levels rise to maintain milk production,,,,,,
